containerId,id,name,type,detailsSummary,raw
GTM-N26LKHCP,__c,Container: 8941643,Container ID,Value: 8941643,"{""function"":""__c"",""vtp_value"":""8941643""}"
GTM-N26LKHCP,__remm,Lookup Table #48,__remm,,"{""function"":""__remm"",""convert_undefined_to"":""doNotFire"",""vtp_setDefaultValue"":false,""vtp_input"":[""macro"",45],""vtp_fullMatch"":true,""vtp_replaceAfterMatch"":true,""vtp_ignoreCase"":true,""vtp_map"":[""list"",[""map"",""key"",""(.*)seaworld\\.com\\/san-diego(.*)"",""value"",""swc-c0""],[""map"",""key"",""(.*)aquatica\\.com\\/san-diego(.*)"",""value"",""aqc-c0""],[""map"",""key"",""(.*)aquatica\\.com\\/san-antonio(.*)"",""value"",""aqtsale""],[""map"",""key"",""(.*)buschgardens\\.com\\/williamsburg(.*)"",""value"",""check0""],[""map"",""key"",""(.*)seaworld\\.com\\/san-antonio(.*)"",""value"",""swtsale""],[""map"",""key"",""(.*)seaworld\\.com\\/orlando(.*)"",""value"",""swosale""],[""map"",""key"",""(.*)aquatica\\.com\\/orlando(.*)"",""value"",""aqosale""],[""map"",""key"",""(.*)buschgardens\\.com\\/tampa(.*)"",""value"",""bgtsale""],[""map"",""key"",""(.*)adventureisland\\.com(.*)"",""value"",""aitsale""],[""map"",""key"",""(.*)sesameplace.com\\/philadelphia(.*)"",""value"",""sppsale""],[""map"",""key"",""(.*)sesameplace.com\\/san-diego(.*)"",""value"",""spcsa0""],[""map"",""key"",""(.*)watercountryusa\\.com(.*)"",""value"",""wcw-o0""]]}"
GTM-N26LKHCP,__jsm,Custom JS #49,Custom JavaScript,,"{""function"":""__jsm"",""vtp_javascript"":[""template"",""(function(){var a=0;for(i=0;i<"",[""escape"",[""macro"",12],8,16],"".purchase.products.length;i++)a+=parseInt("",[""escape"",[""macro"",12],8,16],"".purchase.products[i].quantity);return a})();""]}"
GTM-N26LKHCP,__jsm,Custom JS #50,Custom JavaScript,,"{""function"":""__jsm"",""vtp_javascript"":[""template"",""(function(){var b="",[""escape"",[""macro"",15],8,16],"",c=[],a,d=\"",\"";if(b){for(a=0;a<b.length;a++)b[a].name&&c.push(b[a].name);return c.join(d)}})();""]}"
GTM-N26LKHCP,__v,financedRevenue,Data Layer Variable,dataLayer: financedRevenue,"{""function"":""__v"",""vtp_dataLayerVersion"":2,""vtp_setDefaultValue"":false,""vtp_name"":""financedRevenue""}"
GTM-N26LKHCP,__jsm,Custom JS #52,Custom JavaScript,,"{""function"":""__jsm"",""vtp_javascript"":[""template"",""(function(){var b=0,c=0,a="",[""escape"",[""macro"",12],8,16],"",d="",[""escape"",[""macro"",51],8,16],"";if(a&&typeof a===\""object\""&&a.purchase&&typeof a.purchase===\""object\""&&a.purchase.actionField&&typeof a.purchase.actionField===\""object\""&&a.purchase.actionField.revenue!==void 0){a=a.purchase.actionField.revenue;var e=parseFloat(a);isNaN(e)?console.warn(\""GTM Custom JS: Could not parse 'ecommerceRevenue' from enhancedEcommerceObject.purchase.actionField.revenue. Defaulting to 0.\"",a):b=e}else console.warn(\""GTM Custom JS: Enhanced ecommerce object or its 'purchase.actionField.revenue' path is invalid or missing. Defaulting ecommerceRevenue to 0.\"",\na);a=parseFloat(d);isNaN(a)?console.warn(\""GTM Custom JS: Could not parse 'DL - financedRevenue'. Defaulting to 0.00.\"",d):c=a;b+=c;return decodeURIComponent(String(b.toFixed(2)))})();""]}"
GTM-N26LKHCP,__k,cmapi_cookie_privacy,Constant,dataLayer: cmapi_cookie_privacy,"{""function"":""__k"",""convert_undefined_to"":""\""\"""",""vtp_decodeCookie"":false,""vtp_name"":""cmapi_cookie_privacy""}"
GTM-N26LKHCP,__smm,Lookup Table #54,Regex Table,,"{""function"":""__smm"",""vtp_setDefaultValue"":false,""vtp_input"":[""macro"",25],""vtp_map"":[""list"",[""map"",""key"",""secure.discoverycove.com/estore/checkout/dco/reservationconfirmation.aspx"",""value"",""seawo556""],[""map"",""key"",""seaworlddiscoverypoint.com/order-confirmation"",""value"",""seawo556""]]}"
GTM-N26LKHCP,__smm,Lookup Table #55,Regex Table,,"{""function"":""__smm"",""vtp_setDefaultValue"":false,""vtp_input"":[""macro"",25],""vtp_map"":[""list"",[""map"",""key"",""secure.discoverycove.com/estore/checkout/dco/reservationconfirmation.aspx"",""value"",""disco0""],[""map"",""key"",""seaworlddiscoverypoint.com/order-confirmation"",""value"",""disco00""]]}"
GTM-N26LKHCP,__smm,Lookup Table #56,Regex Table,,"{""function"":""__smm"",""vtp_setDefaultValue"":false,""vtp_input"":[""macro"",25],""vtp_map"":[""list"",[""map"",""key"",""secure.discoverycove.com/estore/checkout/dco/reservationconfirmation.aspx"",""value"",""4174228""],[""map"",""key"",""seaworlddiscoverypoint.com/order-confirmation"",""value"",""4174228""]]}"
GTM-N26LKHCP,__jsm,Custom JS #57,Custom JavaScript,,"{""function"":""__jsm"",""vtp_javascript"":[""template"",""(function(a){a=window.location.href;a=decodeURIComponent(a);return a=a.replace(/([^.@\\s]+)(\\.[^.@\\s]+)*@([^.@\\s]+\\.)+([^.@\\s]+)/,\""\"")})();""]}"
GTM-N26LKHCP,__jsm,Custom JS #58,Custom JavaScript,,"{""function"":""__jsm"",""vtp_javascript"":[""template"",""(function(){var a="",[""escape"",[""macro"",6],8,16],"".toLowerCase(),b="",[""escape"",[""macro"",8],8,16],"".toLowerCase();if(b==\""commerce.4adventure.com\"")return b+a.substring(0,a.lastIndexOf(\""/\""));a=a.replace(\""/en/\"",\""/\"");b=b.replace(\""www.\"",\""\"");b=b.replace(\""secure.\"",\""\"");var c=\""ask.seaworldcares.com seaworldcares.com seaworld.org seaworldkids.com shamushop.com buschgardensshop.com blueworldproject.seaworld.com buschgardensauditions.com seaworldauditions.com seaworldsandiegoauditions.com sesameplaceauditions.com auratec.biz adventureisland.com watercountryusa.com careers.seaworldparks.com\"".split(\"" \"");\nif(c.indexOf(b)>=0||a==\""/searchresults\"")return b;a=a.replace(\""-passmembers\"",\""\"");return a!=\""/\""?(a.substr(a.length-1)!=\""/\""&&(a+=\""/\""),b+a.substring(0,a.indexOf(\""/\"",a.indexOf(\""/\"")+1))):b})();""]}"
GTM-N26LKHCP,__smm,Lookup Table #59,Regex Table,,"{""function"":""__smm"",""vtp_setDefaultValue"":true,""vtp_input"":[""macro"",58],""vtp_defaultValue"":""none"",""vtp_map"":[""list"",[""map"",""key"",""seaworld.com/orlando"",""value"",""seawo002""],[""map"",""key"",""aquatica.com/orlando"",""value"",""aquat001""],[""map"",""key"",""seaworld.com/san-antonio"",""value"",""seawo003""],[""map"",""key"",""aquatica.com/san-antonio"",""value"",""aquat000""],[""map"",""key"",""seaworld.com/san-diego"",""value"",""seawo001""],[""map"",""key"",""buschgardens.com/tampa"",""value"",""busch001""],[""map"",""key"",""buschgardens.com/williamsburg"",""value"",""busch000""]]}"
GTM-N26LKHCP,__smm,Lookup Table #60,Regex Table,,"{""function"":""__smm"",""vtp_setDefaultValue"":true,""vtp_input"":[""macro"",58],""vtp_defaultValue"":""none"",""vtp_map"":[""list"",[""map"",""key"",""seaworld.com/orlando"",""value"",""seawo0""],[""map"",""key"",""aquatica.com/orlando"",""value"",""aquat0""],[""map"",""key"",""seaworld.com/san-antonio"",""value"",""seawo0""],[""map"",""key"",""aquatica.com/san-antonio"",""value"",""aqsalp""],[""map"",""key"",""seaworld.com/san-diego"",""value"",""seawo0""],[""map"",""key"",""buschgardens.com/tampa"",""value"",""busch0""],[""map"",""key"",""buschgardens.com/williamsburg"",""value"",""busch0""]]}"
GTM-N26LKHCP,__smm,Lookup Table #61,Regex Table,,"{""function"":""__smm"",""vtp_setDefaultValue"":false,""vtp_input"":[""macro"",8],""vtp_map"":[""list"",[""map"",""key"",""buschgardens.com"",""value"",""ticke00""],[""map"",""key"",""seaworld.com"",""value"",""ticke0""]]}"
GTM-N26LKHCP,__smm,Lookup Table #62,Regex Table,,"{""function"":""__smm"",""vtp_setDefaultValue"":false,""vtp_input"":[""macro"",38],""vtp_map"":[""list"",[""map"",""key"",""https://discoverycove.com/orlando/park-info/"",""value"",""about0""],[""map"",""key"",""https://discoverycove.com/orlando/upgrades/"",""value"",""allup0""],[""map"",""key"",""https://discoverycove.com/orlando/special-offers/book-early-and-save/"",""value"",""booke0""],[""map"",""key"",""https://discoverycove.com/orlando/events/special-occasions/"",""value"",""caban0""],[""map"",""key"",""https://discoverycove.com/orlando/experiences/dining/"",""value"",""dinin0""],[""map"",""key"",""http://https://discoverycove.com/orlando/park-info/directions/"",""value"",""direc0""],[""map"",""key"",""https://discoverycove.com/orlando/checkout/cart/"",""value"",""disco00""],[""map"",""key"",""https://discoverycove.com/orlando/"",""value"",""disco0""],[""map"",""key"",""https://discoverycove.com/orlando/faq/"",""value"",""faq5n0""],[""map"",""key"",""https://discoverycove.com/orlando/pricing/florida-resident-rates/"",""value"",""flori0""],[""map"",""key"",""https://discoverycove.com/orlando/kid-friendly/"",""value"",""funfo0""],[""map"",""key"",""https://discoverycove.com/orlando/give-the-gift/discovery-cove/"",""value"",""givet0""],[""map"",""key"",""https://discoverycove.com/orlando/pricing/hotel-packages/"",""value"",""hotel0""],[""map"",""key"",""https://discoverycove.com/orlando/experiences/"",""value"",""inclu0""],[""map"",""key"",""https://seaworld.com/orlando/tickets/military-discount/"",""value"",""milit0""],[""map"",""key"",""https://discoverycove.com/orlando/park-info/map/"",""value"",""parkm0""],[""map"",""key"",""https://discoverycove.com/orlando/events/"",""value"",""priva0""],[""map"",""key"",""https://discoverycove.com/orlando/help/inclement-weather-policy/"",""value"",""rainy0""],[""map"",""key"",""https://discoverycove.com/orlando/upgrades/seaventure/"",""value"",""seave0""],[""map"",""key"",""https://discoverycove.com/orlando/park-info/seaworld-and-aquatica/"",""value"",""seawo0""],[""map"",""key"",""https://discoverycove.com/orlando/shopping/"",""value"",""shopp0""],[""map"",""key"",""https://discoverycove.com/orlando/experiences/dolphin-lagoon/"",""value"",""swimw0""],[""map"",""key"",""https://discoverycove.com/orlando/park-info/before-your-visit/"",""value"",""thing0""]]}"
