containerId,id,name,type,vendor,triggers,raw
GTM-N26LKHCP,__cvt_188697223_57,,__cvt_188697223_57,Other/Unknown,192,"{""function"":""__cvt_188697223_57"",""metadata"":[""map""],""consent"":[""list"",""ad_storage""],""once_per_event"":true,""vtp_customUrl"":"""",""vtp_partnerId"":""5338844"",""vtp_conversionId"":"""",""tag_id"":192}"
GTM-N26LKHCP,__flc,HMI - AIT - Annual Pass/Global Floodlight/HomePage/LTO/Tickets - UNQ,Floodlight Counter/Sales,Floodlight,222,"{""function"":""__flc"",""metadata"":[""map"",""name"",""HMI - AIT - Annual Pass/Global Floodlight/HomePage/LTO/Tickets - UNQ""],""consent"":[""list"",""ad_storage""],""once_per_event"":true,""vtp_enableConversionLinker"":true,""vtp_enhancedUserData"":false,""vtp_groupTag"":""ait"",""vtp_useImageTag"":false,""vtp_activityTag"":[""macro"",37],""vtp_ordinalType"":""UNIQUE"",""vtp_conversionCookiePrefix"":""_gcl"",""vtp_advertiserId"":""9124178"",""vtp_ordinalUnique"":""1"",""vtp_number"":[""macro"",3],""vtp_url"":[""macro"",4],""vtp_enableGoogleAttributionOptions"":false,""vtp_showConversionLinkingControls"":true,""vtp_enableMatchIdVariable"":true,""vtp_enableSmartDestinationId"":true,""vtp_enableEventParameters"":true,""tag_id"":222}"
GTM-N26LKHCP,__img,,Custom Image,Custom,226,"{""function"":""__img"",""metadata"":[""map""],""consent"":[""list"",""ad_storage""],""once_per_event"":true,""vtp_useCacheBuster"":true,""vtp_url"":[""template"",""https://px.gumgum.com/ad/conversion?cmp=14433&num=2&rnd="",[""escape"",[""macro"",36],12]],""vtp_cacheBusterQueryParam"":""gtmcb"",""vtp_randomNumber"":[""macro"",3],""tag_id"":226}"
GTM-N26LKHCP,__img,,Custom Image,Custom,261,"{""function"":""__img"",""metadata"":[""map""],""consent"":[""list"",""ad_storage""],""once_per_load"":true,""vtp_useCacheBuster"":true,""vtp_url"":""https://b.videoamp.com/d2/d6147749-5db8-4a6f-8a28-27fb52e58031/5975/impression?bwb=35&vpxid=5975&dnt=false&cevt=HOMEPAGE"",""vtp_cacheBusterQueryParam"":""gtmcb"",""vtp_randomNumber"":[""macro"",3],""tag_id"":261}"
GTM-N26LKHCP,__flc,seawo0/seawo0,Floodlight Counter/Sales,Floodlight,267,"{""function"":""__flc"",""metadata"":[""map""],""consent"":[""list"",""ad_storage""],""once_per_event"":true,""vtp_enableConversionLinker"":true,""vtp_enhancedUserData"":false,""vtp_groupTag"":""seawo0"",""vtp_useImageTag"":false,""vtp_activityTag"":""seawo0"",""vtp_ordinalType"":""STANDARD"",""vtp_conversionCookiePrefix"":""_gcl"",""vtp_advertiserId"":""11500802"",""vtp_ordinalStandard"":[""macro"",3],""vtp_url"":[""macro"",4],""vtp_enableGoogleAttributionOptions"":false,""vtp_showConversionLinkingControls"":true,""vtp_enableMatchIdVariable"":true,""vtp_enableSmartDestinationId"":true,""vtp_enableEventParameters"":true,""tag_id"":267}"
GTM-N26LKHCP,__flc,aquat0/aqsacart,Floodlight Counter/Sales,Floodlight,269,"{""function"":""__flc"",""metadata"":[""map""],""consent"":[""list"",""ad_storage""],""once_per_event"":true,""vtp_enableConversionLinker"":true,""vtp_enhancedUserData"":false,""vtp_groupTag"":""aquat0"",""vtp_useImageTag"":false,""vtp_activityTag"":""aqsacart"",""vtp_ordinalType"":""STANDARD"",""vtp_conversionCookiePrefix"":""_gcl"",""vtp_advertiserId"":""11500802"",""vtp_ordinalStandard"":[""macro"",3],""vtp_url"":[""macro"",4],""vtp_enableGoogleAttributionOptions"":false,""vtp_showConversionLinkingControls"":true,""vtp_enableMatchIdVariable"":true,""vtp_enableSmartDestinationId"":true,""vtp_enableEventParameters"":true,""tag_id"":269}"
GTM-N26LKHCP,__flc,busch0/busch00,Floodlight Counter/Sales,Floodlight,286,"{""function"":""__flc"",""metadata"":[""map""],""consent"":[""list"",""ad_storage""],""once_per_event"":true,""vtp_enableConversionLinker"":true,""vtp_enhancedUserData"":false,""vtp_groupTag"":""busch0"",""vtp_useImageTag"":false,""vtp_activityTag"":""busch00"",""vtp_ordinalType"":""STANDARD"",""vtp_conversionCookiePrefix"":""_gcl"",""vtp_advertiserId"":""11500802"",""vtp_ordinalStandard"":[""macro"",3],""vtp_url"":[""macro"",4],""vtp_enableGoogleAttributionOptions"":false,""vtp_showConversionLinkingControls"":true,""vtp_enableMatchIdVariable"":true,""vtp_enableSmartDestinationId"":true,""vtp_enableEventParameters"":true,""tag_id"":286}"
GTM-N26LKHCP,__img,,Custom Image,Custom,290,"{""function"":""__img"",""metadata"":[""map""],""consent"":[""list"",""ad_storage""],""once_per_event"":true,""vtp_useCacheBuster"":true,""vtp_url"":""https://b.videoamp.com/d2/d6147749-5db8-4a6f-8a28-27fb52e58031/5975/impression?bwb=35&vpxid=5975&dnt=false&cevt=TICKETS_PAGE"",""vtp_cacheBusterQueryParam"":""gtmcb"",""vtp_randomNumber"":[""macro"",3],""tag_id"":290}"
GTM-N26LKHCP,__flc,HMI - Aquatica San Antonio - Single Day Tickets - UNQ,Floodlight Counter/Sales,Floodlight,295,"{""function"":""__flc"",""metadata"":[""map"",""name"",""HMI - Aquatica San Antonio - Single Day Tickets - UNQ""],""consent"":[""list"",""ad_storage""],""vtp_enableConversionLinker"":true,""vtp_enhancedUserData"":false,""vtp_groupTag"":""aqt"",""vtp_useImageTag"":false,""vtp_activityTag"":""sglunq"",""vtp_ordinalType"":""UNIQUE"",""vtp_conversionCookiePrefix"":""_gcl"",""vtp_advertiserId"":""9124178"",""vtp_ordinalUnique"":""1"",""vtp_number"":[""macro"",3],""vtp_url"":[""macro"",4],""vtp_enableGoogleAttributionOptions"":false,""vtp_showConversionLinkingControls"":true,""vtp_enableMatchIdVariable"":true,""vtp_enableSmartDestinationId"":true,""vtp_enableEventParameters"":true,""tag_id"":295}"
GTM-N26LKHCP,__cvt_188697223_57,Conversion 14081884,__cvt_188697223_57,Other/Unknown,310,"{""function"":""__cvt_188697223_57"",""metadata"":[""map""],""consent"":[""list"",""ad_storage""],""once_per_event"":true,""vtp_customUrl"":"""",""vtp_partnerId"":""5369628"",""vtp_conversionId"":""14081884"",""tag_id"":310}"
GTM-N26LKHCP,__awct,AdWords - Conversion,Google Ads Conversion Tracking,Google Ads,311,"{""function"":""__awct"",""metadata"":[""map"",""name"",""AdWords - Conversion""],""consent"":[""list"",""ad_storage""],""once_per_event"":true,""vtp_enableNewCustomerReporting"":false,""vtp_enableConversionLinker"":true,""vtp_enableProductReporting"":false,""vtp_conversionValue"":[""macro"",34],""vtp_conversionCookiePrefix"":""_gcl"",""vtp_conversionId"":""991674247"",""vtp_conversionLabel"":""X3YSCNH54QMQh__u2AM"",""vtp_rdp"":false,""vtp_url"":[""macro"",4],""vtp_enableProductReportingCheckbox"":true,""vtp_enableNewCustomerReportingCheckbox"":true,""vtp_enableEnhancedConversionsCheckbox"":false,""vtp_enableRdpCheckbox"":true,""vtp_enableTransportUrl"":false,""vtp_enableCustomParams"":false,""vtp_enableSmartDestinationId"":true,""vtp_enableEventParameters"":true,""tag_id"":311}"
